DNTNO,PRDCD,LOCCD,HDATE,HTIME,RSHLD
G0525042576027 ,0054,0004,00000000,000000, 
G052504257815I ,0371,0004,00000000,000000, 
G052504258707A ,0054,0004,00000000,000000, 
G0525042626094 ,ALL ,0004,00000000,000000, 
G052504262610I ,ALL ,0004,00000000,000000, 
G0525042630958 ,ALL ,0004,00000000,000000, 
G052504263378N ,ALL ,0004,20240813,142724591,COS
