DNTNO,HDATE,HTIME,PRDCD,RSHLD,HLDBY,HLDPROG,RSCLR,CDATE,CTIME,CLRBY,CLRPROG
G052522331225D ,20240509,155505503,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223312463 ,20240509,155505597,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522335555O ,20240509,155505675,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522335830I ,20240509,155505753,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522335831G ,20240509,155505831,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522336085* ,20240509,155505925,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522336584Z ,20240509,155506003,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522337720Z ,20240509,155506081,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522338285P ,20240509,155506253,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522338286N ,20240509,155506331,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522338387D ,20240509,155506425,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223402964 ,20240509,155506503,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522340318O ,20240509,155506597,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522340709V ,20240509,155506675,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522340758D ,20240509,155506768,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522341448P ,20240509,155506862,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522347403T ,20240509,155507112,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522351806I ,20240509,155507206,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223558736 ,20240509,155507440,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522356019T ,20240509,155507518,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223565043 ,20240509,155507612,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522356532W ,20240509,155507690,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522357211D ,20240509,155507784,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522357495V ,20240509,155507862,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522357499N ,20240509,155507956,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223588285 ,20240509,155508034,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522358921B ,20240509,155508128,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522369842Z ,20240509,155508206,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522369881L ,20240509,155508300,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522376885T ,20240521,075957546,SP54,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522376885T ,20240521,075957624,SP55,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522385872N ,20240509,155508393,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522385963H ,20240509,155508472,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522388245T ,20240509,155508565,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522388245T ,20240509,155508659,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522392931C ,20240509,155508706,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522393197O ,20240509,155508784,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223957535 ,20240509,155508862,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522397633Q ,20240509,155508956,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223986268 ,20240509,155509050,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223986268 ,20240509,155509143,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522416833X ,20240620,135700021,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522416833X ,20240827,144743622,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522434606N ,20240503,165726165,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522434781U ,20240503,165726243,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522437925J ,20240509,155509206,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525224380403 ,20240510,152434262,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525224380403 ,20240510,153201656,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522438672D ,20240509,155509284,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525224386837 ,20240509,155509378,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522442452R ,20240509,155509472,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522442470N ,20240509,155509550,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522442618F ,20240509,155509643,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522445684L ,20240509,155509722,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525224587935 ,20240503,165726321,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G0525224590061 ,20240503,165726399,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522459040Y ,20240503,165726493,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522461749J ,20240905,154338529,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522461762P ,20240905,154338607,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522461767F ,20240905,154338685,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522461769B ,20240905,154338748,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522474348A ,20240503,165726665,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522474475X ,20240503,165726743,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522475126M ,20240509,155509800,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522475742B ,20240503,165726821,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522483367P ,20240905,154338826,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522483372V ,20240905,154338889,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522483374R ,20240905,154338967,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522483775U ,20240503,165726915,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522488004* ,20240503,165726993,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522488018O ,20240503,165727071,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522495519Z ,20240905,154339045,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522495520C ,20240905,154339107,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G0525224955252 ,20240905,154339185,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522496930Y ,20240503,165727165,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G0525224969774 ,20240503,165727243,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522499842N ,20240503,165727321,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522499907L ,20240503,165727415,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522501309A ,20240509,155509972,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522501541V ,20240509,155510065,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522501713N ,20240509,155510143,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522502578Q ,20240503,165727493,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522505600E ,20240503,165727587,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522505670N ,20240503,165727665,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G0525225057030 ,20240905,154339264,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522505707T ,20240905,154339326,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522505729H ,20240905,154339404,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522505730V ,20240905,154339529,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522505745H ,20240905,154339639,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522505747D ,20240905,154339748,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522505752J ,20240905,154339857,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522505755D ,20240905,154339935,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522505756B ,20240905,154339998,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522505760J ,20240905,154340076,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522505763D ,20240905,154340154,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522506042Q ,20240905,154340217,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522506105S ,20240503,165727837,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522506143G ,20240905,154340279,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522507398S ,20240503,165727915,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522508444W ,20240503,165727993,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G0525225097048 ,20240503,165728087,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G0525225097072 ,20240503,165728165,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522509919F ,20240905,154340357,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522509932L ,20240905,154340435,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522509934H ,20240905,154340514,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522509935F ,20240905,154340592,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G0525225099477 ,20240905,154340654,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G0525225099485 ,20240905,154340717,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522509952D ,20240905,154340795,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522509953B ,20240905,154340857,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G0525225099565 ,20240905,154340935,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522510149V ,20240509,155510237,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225101516 ,20240509,155510315,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522510345N ,20240503,165728243,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522510447B ,20240503,165728321,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522510825S ,20240905,154340998,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522513062Y ,20240509,155510393,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225157856 ,20240509,155510487,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522516236B ,20240510,152434325,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522516236B ,20240510,153201719,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225162539 ,20240510,152434387,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225162539 ,20240510,153201781,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225165696 ,20240510,152434450,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525225165696 ,20240510,153201844,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522516603Y ,20240521,075958015,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
